fid,district_name,origin_id,structure_no,latitude,longitude,pue
7701730,zombo,79816,1,2.58103231,30.97821364,
7701880,zombo,162759,5,2.58488281,30.97852172,
7701858,zombo,179291,1,2.5821059,30.97856509,
7701738,zombo,84851,1,2.58228961,30.97869486,
7701879,zombo,56170,5,2.58313267,30.97887448,
7701832,zombo,156866,1,2.58543472,30.97894637,
7701904,zombo,61795,4,2.5838761,30.97896219,
7701765,zombo,104949,1,2.58220542,30.97902812,
7701633,zombo,1993,1,2.58127096,30.9790269,
7701849,zombo,173813,1,2.58265428,30.97903868,
7701812,zombo,144099,1,2.58149499,30.97904676,
7701662,zombo,26901,1,2.58321952,30.9790827,
7701737,zombo,83630,1,2.58523931,30.9790843,
7701918,zombo,107958,4,2.58152715,30.97933014,
7701813,zombo,144704,1,2.57888808,30.98000796,
7701957,zombo,3176,3,2.58501417,30.97747264,
7701967,zombo,126138,3,2.57926178,30.97711402,
7702008,zombo,79882,2,2.58186687,30.97806677,
7702028,zombo,30886,2,2.58596721,30.97903036,
7702033,zombo,18153,2,2.58483128,30.97880003,
7702044,zombo,23888,2,2.58268075,30.9786046,
7702049,zombo,136046,1,2.58517036,30.9776095,
7702057,zombo,152484,1,2.57852916,30.97709383,
7701844,zombo,168594,1,2.58569614,30.98104119,
7701779,zombo,118265,1,2.5836538,30.98150533,
7701936,zombo,54044,3,2.57862388,30.98171037,
7701925,zombo,29844,4,2.58364585,30.98186907,
7701814,zombo,145153,1,2.57891421,30.98230254,
7701780,zombo,119315,1,2.58062032,30.98240772,
7701910,zombo,103537,4,2.58490134,30.98264201,
7701823,zombo,149515,1,2.58396303,30.98267579,
7701772,zombo,110040,1,2.58113685,30.98282617,
7701824,zombo,149728,1,2.58276968,30.98290733,
7701933,zombo,101459,3,2.58529771,30.98515212,
7701769,zombo,107130,1,2.58482924,30.98520201,
7701653,zombo,24647,1,2.58121005,30.98601039,
7701850,zombo,174537,1,2.58130702,30.98658915,
7701928,zombo,106081,3,2.58018061,30.98687143,
7701741,zombo,87925,1,2.5838667,30.98733647,
7701857,zombo,178553,1,2.58439966,30.98738092,
7701937,zombo,55641,3,2.58306277,30.98783675,
7701839,zombo,165357,1,2.58483978,30.9888205,
7701809,zombo,139708,1,2.58381631,30.98972746,
7701948,zombo,108197,3,2.58139879,30.99048314,
7701950,zombo,112912,3,2.58209998,30.98875506,
7701954,zombo,6365,3,2.58339923,30.98066343,
7701959,zombo,77730,3,2.58523554,30.98284648,
7701963,zombo,25653,3,2.58421737,30.98208993,
7701966,zombo,22607,3,2.58341951,30.98109253,
7701987,zombo,106546,2,2.58286639,30.98163729,
7701996,zombo,139160,2,2.57970392,30.98227394,
7702012,zombo,176679,2,2.58327045,30.9816968,
7702017,zombo,153337,2,2.58445532,30.98240772,
7702023,zombo,157606,2,2.57964104,30.98846446,
7702026,zombo,34803,1,2.58512773,30.98253328,
7702030,zombo,56981,2,2.58525777,30.9872068,
7702038,zombo,150513,1,2.58234987,30.98892171,
7702045,zombo,24246,2,2.5817486,30.98691249,
7702047,zombo,131388,2,2.58168005,30.98672143,
7702051,zombo,32947,2,2.58257002,30.98138187,
7702065,zombo,35562,2,2.58301581,30.98176796,
7702066,zombo,69690,1,2.58385993,30.98209066,
7701934,zombo,49938,3,2.59382298,30.98307146,
7701940,zombo,129397,3,2.59164175,30.98321142,
7701828,zombo,151933,1,2.59371817,30.98359893,
7701852,zombo,175698,1,2.58755433,30.98365352,
7701819,zombo,147567,1,2.5886731,30.98367419,
7701892,zombo,52571,5,2.58653431,30.98379827,
7701647,zombo,18976,1,2.59254957,30.9841961,
7701760,zombo,102453,1,2.58777859,30.98437276,
7701718,zombo,70607,1,2.58916877,30.98458217,
7701894,zombo,40337,5,2.5874297,30.98462455,
7701854,zombo,177432,1,2.58880696,30.98466768,
7701788,zombo,126062,1,2.58605192,30.98487397,
7701884,zombo,97132,5,2.59048141,30.98627007,
7701688,zombo,45897,1,2.58983079,30.98629455,
7701732,zombo,80511,1,2.58665984,30.98672519,
7701804,zombo,136993,1,2.58957158,30.98727145,
7701883,zombo,141607,5,2.58642096,30.99035277,
7701766,zombo,106402,1,2.59136171,30.99058613,
7701971,zombo,127366,3,2.59130457,30.98315105,
7701974,zombo,131996,2,2.59395195,30.98338379,
7701989,zombo,99430,2,2.59064378,30.98310849,
7701992,zombo,81088,2,2.58824034,30.98694909,
7702007,zombo,120349,2,2.59226526,30.98421732,
7702021,zombo,150495,2,2.58858994,30.98459597,
7702024,zombo,162268,2,2.58864314,30.98534502,
7702034,zombo,24810,2,2.58957522,30.98308953,
7702048,zombo,86441,2,2.58749506,30.9851804,
7701214,zombo,28202,1,2.55425967,30.97752331,
7701192,zombo,17213,1,2.55587039,30.98045863,
7701349,zombo,148488,1,2.55518906,30.97775855,
7701430,zombo,17311,5,2.55433069,30.97950071,
7690291,zombo,121225,2,2.54078104,30.97682154,
7701201,zombo,21203,1,2.54078833,30.97691531,
7691156,zombo,52345,3,2.56647225,30.9767471,
7690568,zombo,112373,1,2.56870433,30.97679981,
7690394,zombo,43387,1,2.56901167,30.97679357,
7701301,zombo,112743,1,2.56315792,30.97741011,
7701309,zombo,122465,1,2.56252781,30.97744518,
7701312,zombo,124551,1,2.56352535,30.97689984,
7701348,zombo,147831,1,2.5624721,30.97708594,
7701477,zombo,154815,3,2.56377481,30.97697925,
7701522,zombo,112544,3,2.56228051,30.97691487,
7701810,zombo,143193,1,2.56709154,30.97734328,
7701871,zombo,85665,4,2.56891146,30.97702597,
7701917,zombo,2029,4,2.56755297,30.97732526,
7701924,zombo,123178,1,2.56874064,30.97694893,
7701970,zombo,75662,3,2.56812456,30.97738918,
7690278,zombo,43212,2,2.54988679,30.97670326,
7689550,zombo,175392,1,2.55727919,30.97678038,
7701253,zombo,64156,1,2.55896754,30.97736013,
7701261,zombo,69414,1,2.55832715,30.97838731,
7701274,zombo,79867,1,2.55927812,30.97812708,
7701277,zombo,83263,1,2.56053927,30.97797997,
7701295,zombo,108417,1,2.56029302,30.97795434,
7701297,zombo,110337,1,2.54835766,30.97704304,
7701315,zombo,127514,1,2.55865566,30.9776299,
7701332,zombo,136882,1,2.5479314,30.97755783,
7701333,zombo,137344,1,2.54751775,30.97745319,
7701342,zombo,142712,1,2.55717519,30.97831389,
7701368,zombo,161456,1,2.54827878,30.97760047,
7701464,zombo,84913,4,2.5479929,30.97837506,
7701483,zombo,49543,3,2.55244438,30.97705293,
7701503,zombo,121088,1,2.54788582,30.97859429,
7701532,zombo,169511,2,2.55694199,30.97691595,
7701535,zombo,110692,2,2.55795132,30.9782664,
7701543,zombo,157926,2,2.55414479,30.977018,
7691396,zombo,100682,1,2.56933636,30.97671262,
7690531,zombo,96976,1,2.56986513,30.97671913,
7691166,zombo,137037,3,2.57033665,30.97674708,
7691072,zombo,112902,4,2.57770324,30.97676428,
7690731,zombo,173964,1,2.57093502,30.97681917,
7690512,zombo,89186,1,2.57604699,30.97682153,
7690408,zombo,46697,1,2.57477307,30.97684393,
7691364,zombo,37328,2,2.57432341,30.97684895,
7690315,zombo,12580,1,2.56919768,30.97685869,
7701770,zombo,107654,1,2.57400976,30.97687871,
7701757,zombo,97398,1,2.57133133,30.9769473,
7701866,zombo,136599,1,2.56999515,30.97704874,
7701759,zombo,100838,1,2.57296977,30.97706283,
7701861,zombo,95133,7,2.56976915,30.97707467,
7701862,zombo,150443,4,2.56906899,30.97712923,
7701859,zombo,50999,19,2.56928635,30.97714521,
7701865,zombo,104663,7,2.57017913,30.97714698,
7701705,zombo,62683,1,2.57114129,30.97715966,
7701860,zombo,55967,12,2.56984001,30.9772741,
7701864,zombo,116203,3,2.56935028,30.97735914,
7701863,zombo,165427,6,2.56967522,30.97736176,
7701776,zombo,114413,1,2.57649553,30.97746763,
7701657,zombo,25403,1,2.56955449,30.97761829,
7701856,zombo,178519,1,2.57628347,30.97810733,
7701868,zombo,7428,6,2.57034881,30.97737296,
7701869,zombo,172292,4,2.57015086,30.97743854,
7701870,zombo,177680,3,2.56934442,30.97690676,
7701877,zombo,172894,3,2.5705191,30.97722634,
7701896,zombo,25764,1,2.56992671,30.9775437,
7701903,zombo,64273,4,2.577649,30.97689906,
7701907,zombo,65486,4,2.57429564,30.97694153,
7701935,zombo,101910,1,2.56912459,30.97688448,
7701958,zombo,175877,2,2.57733037,30.97696112,
7701980,zombo,103598,1,2.57039171,30.97701133,
7701321,zombo,130489,1,2.56217456,30.97836912,
7701334,zombo,137750,1,2.55874745,30.97848967,
7701427,zombo,3218,6,2.56006351,30.97858989,
7701299,zombo,110837,1,2.56253228,30.97873103,
7701768,zombo,107041,1,2.56636285,30.97893259,
7701618,zombo,159007,2,2.55969365,30.97894767,
7701335,zombo,137814,1,2.55888932,30.97904884,
7701344,zombo,145499,1,2.56401151,30.97918384,
7701389,zombo,178008,1,2.55901499,30.97965172,
7701536,zombo,113717,2,2.55821074,30.97969539,
7701573,zombo,161631,2,2.56390982,30.979728,
7701450,zombo,22581,4,2.56287467,30.97974228,
7701193,zombo,17350,1,2.56410312,30.98010239,
7701266,zombo,76706,1,2.56147034,30.98052431,
7701664,zombo,27556,1,2.56621803,30.98064257,
7701190,zombo,16815,1,2.56433948,30.98088778,
7701194,zombo,17659,1,2.56215225,30.98097233,
7701331,zombo,136833,1,2.55945103,30.98106395,
7701373,zombo,166759,1,2.55660236,30.9812007,
7701608,zombo,108449,2,2.56017208,30.9813323,
7701515,zombo,156552,3,2.56146281,30.9813845,
7701204,zombo,22655,1,2.55895267,30.98185548,
7701221,zombo,37487,1,2.56108031,30.98275784,
7701790,zombo,128151,1,2.56667073,30.98281729,
7701851,zombo,174634,1,2.56563357,30.98135835,
7702006,zombo,94053,2,2.56772058,30.98262542,
7701222,zombo,38491,1,2.54242955,30.98102777,
7701291,zombo,101613,1,2.54193786,30.98149834,
7701236,zombo,49459,1,2.55441395,30.9816081,
7701337,zombo,138038,1,2.54496632,30.98162416,
7701322,zombo,132509,1,2.54170606,30.98164029,
7701249,zombo,62838,1,2.55502591,30.98180031,
7701284,zombo,91839,1,2.54713735,30.98200298,
7701186,zombo,12620,1,2.55280127,30.98316569,
7701226,zombo,43148,1,2.55172159,30.98344721,
7701188,zombo,15426,1,2.55206197,30.98345113,
7701276,zombo,83078,1,2.55315575,30.98541245,
7701235,zombo,48128,1,2.5508254,30.98562514,
7701292,zombo,103092,1,2.54487987,30.98643641,
7701339,zombo,140971,1,2.54824034,30.98681508,
7701202,zombo,21384,1,2.55508745,30.9868539,
7701300,zombo,111858,1,2.54882526,30.98744699,
7701195,zombo,17798,1,2.54777221,30.98759514,
7701336,zombo,137990,1,2.54171087,30.98774794,
7701255,zombo,64676,1,2.54907496,30.98776758,
7701197,zombo,18453,1,2.55195908,30.98783318,
7701179,zombo,6049,1,2.548658,30.98812678,
7701172,zombo,1047,1,2.54986869,30.98840662,
7701245,zombo,57999,1,2.55149032,30.98876348,
7701358,zombo,153932,1,2.54852557,30.98952546,
7701205,zombo,22815,1,2.5509767,30.98989316,
7701173,zombo,1608,1,2.54634893,30.98994633,
7701372,zombo,164650,1,2.54369749,30.97996434,
7701386,zombo,175304,1,2.54353153,30.98013142,
7701431,zombo,18019,5,2.54642865,30.97923944,
7701448,zombo,33802,5,2.54211672,30.98130866,
7701458,zombo,91713,4,2.54192436,30.97964737,
7701465,zombo,100761,4,2.55303903,30.98840541,
7701468,zombo,176033,4,2.54737863,30.98990272,
7701498,zombo,6135,3,2.54619741,30.97923626,
7701499,zombo,7542,3,2.55534941,30.98959637,
7701518,zombo,27921,3,2.54182357,30.98133556,
7701530,zombo,117506,2,2.55306139,30.98977035,
7701548,zombo,154019,2,2.54714148,30.98921066,
7701549,zombo,85636,2,2.55345059,30.98639972,
7701552,zombo,169402,2,2.5426853,30.98084678,
7701561,zombo,121924,2,2.55277901,30.9897296,
7701570,zombo,157743,2,2.55484894,30.98856249,
7701582,zombo,29723,2,2.55258825,30.99040006,
7701585,zombo,119383,2,2.54324469,30.97961267,
7701595,zombo,6523,2,2.54615189,30.98911507,
7701597,zombo,178858,1,2.54225169,30.98113563,
7701626,zombo,53737,2,2.55329688,30.98381328,
7701720,zombo,71739,1,2.57836562,30.97981013,
7701771,zombo,108851,1,2.5760419,30.97989805,
7701867,zombo,177924,7,2.56917258,30.97997441,
7701675,zombo,33689,1,2.56945899,30.98007784,
7701798,zombo,133511,1,2.57706621,30.98064423,
7701642,zombo,14021,1,2.57839678,30.98089207,
7701781,zombo,120107,1,2.57215783,30.98096244,
7701723,zombo,74290,1,2.56896002,30.98243237,
7701703,zombo,60588,1,2.57348928,30.98258656,
7701805,zombo,137328,1,2.57313618,30.98318558,
7701685,zombo,44327,1,2.57264173,30.98347765,
7701829,zombo,152194,1,2.5754655,30.98434346,
7701845,zombo,171324,1,2.57650235,30.98441588,
7701755,zombo,96878,1,2.57205207,30.98479229,
7701745,zombo,89103,1,2.5684894,30.98494059,
7701681,zombo,41412,1,2.57501951,30.98499299,
7701773,zombo,110984,1,2.57527681,30.9850322,
7701799,zombo,134753,1,2.5704782,30.98506961,
7701827,zombo,151300,1,2.5707562,30.98591832,
7701644,zombo,17216,1,2.57423905,30.98601935,
7701709,zombo,65708,1,2.57818933,30.9860717,
7701695,zombo,52998,1,2.57537371,30.98613197,
7701847,zombo,172350,1,2.5726044,30.98659875,
7701671,zombo,31741,1,2.57355335,30.98715551,
7701702,zombo,59413,1,2.57791464,30.9873371,
7701886,zombo,46756,5,2.57361836,30.98680871,
7701899,zombo,103710,4,2.57485638,30.98032598,
7701931,zombo,89444,3,2.57517103,30.98602857,
7701938,zombo,123100,3,2.57236525,30.9864873,
7701943,zombo,146268,3,2.57524373,30.98658755,
7701956,zombo,162700,3,2.57784893,30.97987536,
7701960,zombo,151872,3,2.57061414,30.98611724,
7701962,zombo,172048,3,2.57616464,30.98117799,
7701965,zombo,134892,3,2.57727333,30.97988919,
7701978,zombo,129943,2,2.57131218,30.98667267,
7701981,zombo,59583,2,2.57381921,30.98517545,
7701983,zombo,100351,2,2.57744764,30.98625646,
7701990,zombo,109825,2,2.57732218,30.98163118,
7702001,zombo,65284,2,2.57656063,30.98123859,
7702013,zombo,87712,2,2.57582624,30.98359184,
7702016,zombo,153557,2,2.57636385,30.97937681,
7702035,zombo,18590,2,2.57749459,30.98066814,
7702036,zombo,137319,2,2.57595538,30.9841666,
7702062,zombo,53761,2,2.57321759,30.9836046,
7702064,zombo,3593,2,2.56961415,30.98759289,
7701565,zombo,127426,2,2.56312809,30.98384807,
7701588,zombo,174529,2,2.56285444,30.98392989,
7701540,zombo,107566,2,2.55630016,30.984743,
7701578,zombo,68324,2,2.55689521,30.98489172,
7701248,zombo,61292,1,2.56122801,30.9849956,
7701482,zombo,51579,3,2.55724724,30.98503043,
7701272,zombo,79141,1,2.56148345,30.9853821,
7701385,zombo,174992,1,2.5577738,30.98540167,
7701327,zombo,134080,1,2.5596167,30.98566722,
7701246,zombo,58834,1,2.55699326,30.9858492,
7701724,zombo,74422,1,2.56465164,30.98604527,
7701614,zombo,101805,2,2.56445889,30.98624776,
7701609,zombo,46927,2,2.56302069,30.98632455,
7701598,zombo,5441,2,2.56354133,30.98644041,
7701176,zombo,3781,1,2.5633384,30.98645895,
7701260,zombo,69133,1,2.55626774,30.98661486,
7701231,zombo,45643,1,2.55632348,30.98706545,
7701425,zombo,149684,6,2.5601475,30.9870897,
7701611,zombo,108775,2,2.55996953,30.98739966,
7701623,zombo,50382,2,2.55916884,30.98741445,
7701793,zombo,129917,1,2.56775545,30.98830581,
7701441,zombo,88691,5,2.56343042,30.98845334,
7701217,zombo,30531,1,2.55979489,30.9884702,
7701509,zombo,41589,3,2.55653682,30.98847208,
7701531,zombo,177309,2,2.55702327,30.98866941,
7701525,zombo,98737,2,2.55969783,30.9887726,
7701545,zombo,90546,2,2.5618344,30.98877608,
7701434,zombo,122330,5,2.56298867,30.98914999,
7701796,zombo,132898,1,2.56563719,30.98619662,
7701939,zombo,45209,3,2.56741476,30.99088586,
7701902,zombo,140951,4,2.567578,30.99385277,
7701923,zombo,83981,4,2.56806956,30.99390942,
7701710,zombo,65785,1,2.56851462,30.9908982,
7701727,zombo,76378,1,2.56902296,30.99770071,
7701708,zombo,65460,1,2.56906129,30.99031644,
7701945,zombo,163267,3,2.56918732,30.99756142,
7701955,zombo,82480,3,2.56975285,30.99299878,
7701749,zombo,93622,1,2.57058213,30.9939837,
7701694,zombo,52303,1,2.570662,30.99650246,
7701977,zombo,113971,2,2.57102202,30.98872725,
7701946,zombo,168768,3,2.57116189,30.99419116,
7701686,zombo,45198,1,2.57142126,30.99713768,
7701930,zombo,95992,3,2.57161777,30.99550062,
7701728,zombo,78111,1,2.57169822,30.98874366,
7701912,zombo,51858,4,2.57184917,30.99350503,
7701669,zombo,30207,1,2.57186027,30.99565841,
7701993,zombo,96905,2,2.57200938,30.99156934,
7701641,zombo,13401,1,2.57212272,30.99365024,
7701873,zombo,75485,6,2.57238969,30.99291825,
7701806,zombo,137832,1,2.57246309,30.99246757,
7701722,zombo,73185,1,2.57313627,30.99602398,
7701656,zombo,25182,1,2.57345243,30.99505136,
7701846,zombo,171630,1,2.57348128,30.99065338,
7701972,zombo,138723,2,2.57355851,30.99236325,
7701817,zombo,147483,1,2.57364989,30.99405601,
7701941,zombo,138347,3,2.57383364,30.99622269,
7701964,zombo,29558,3,2.57406499,30.99331209,
7701826,zombo,151113,1,2.57418635,30.99690957,
7701808,zombo,139566,1,2.57480612,30.9900804,
7701942,zombo,62402,3,2.57503471,30.99059118,
7701761,zombo,103171,1,2.57510434,30.98988377,
7701909,zombo,95596,4,2.57516657,30.99709024,
7701831,zombo,155961,1,2.57536807,30.99692097,
7702000,zombo,115148,2,2.57329315,30.99421578,
7702011,zombo,99831,2,2.57425136,30.99253025,
7702027,zombo,143568,2,2.57026046,30.99177745,
7702052,zombo,141641,2,2.57586081,30.99352694,
7702067,zombo,38018,2,2.56934609,30.99061771,
7702070,zombo,40552,2,2.57425751,30.99224299,
7701743,zombo,88477,1,2.58413876,30.98870464,
7701881,zombo,40093,5,2.5855839,30.99076761,
7702009,zombo,134321,2,2.58630233,30.99080321,
7701985,zombo,106552,2,2.58927817,30.99085582,
7701988,zombo,161271,2,2.58651673,30.990857,
7701700,zombo,56699,1,2.58943471,30.99101,
7701905,zombo,76408,4,2.58675974,30.99144753,
7702003,zombo,170331,2,2.58713891,30.99161166,
7702042,zombo,11687,2,2.58308918,30.99181837,
7701922,zombo,102100,4,2.58652099,30.99215429,
7701704,zombo,61270,1,2.58753444,30.99224056,
7701682,zombo,42034,1,2.58646828,30.99239173,
7701775,zombo,111948,1,2.58666393,30.99242093,
7701947,zombo,167773,3,2.58296549,30.99373353,
7702055,zombo,105087,2,2.58463066,30.99406336,
7701944,zombo,135709,3,2.58375487,30.99410718,
7701668,zombo,28895,1,2.58350657,30.99436623,
7701212,zombo,27641,1,2.5599925,30.99249208,
7701529,zombo,118095,2,2.56007942,30.99493467,
7701599,zombo,105049,2,2.56021113,30.99189069,
7701589,zombo,5273,2,2.56028966,30.99236866,
7701230,zombo,44827,1,2.56048087,30.99487464,
7701367,zombo,161283,1,2.56068038,30.99459094,
7701564,zombo,118174,1,2.56075218,30.99589623,
7701497,zombo,17966,3,2.56079425,30.99526981,
7701433,zombo,116749,5,2.5609591,30.99605568,
7701451,zombo,127069,2,2.56106738,30.99620758,
7701189,zombo,15653,1,2.56116743,30.99586943,
7701290,zombo,101179,1,2.56116873,30.99059285,
7701576,zombo,58767,2,2.56163583,30.99231277,
7701580,zombo,161556,1,2.56172397,30.99053531,
7701481,zombo,152712,3,2.561921,30.99041775,
7701379,zombo,170896,1,2.56241217,30.99334394,
7701559,zombo,91009,2,2.56250716,30.99733394,
7701436,zombo,26913,5,2.56279463,30.99546976,
7701178,zombo,5486,1,2.56295828,30.99607294,
7701537,zombo,109894,2,2.56337644,30.9965573,
7701351,zombo,149487,1,2.56343068,30.99195016,
7701592,zombo,96676,2,2.56409228,30.98978634,
7701347,zombo,147790,1,2.56417892,30.99640775,
7701228,zombo,43643,1,2.5644954,30.99260218,
7701696,zombo,53212,1,2.56486414,30.99180232,
7701689,zombo,47657,1,2.56546572,30.99409901,
7701691,zombo,48954,1,2.56598986,30.98984642,
7701811,zombo,144011,1,2.56478209,30.99654801,
7701853,zombo,177409,1,2.56499302,30.99776583,
7701875,zombo,176593,6,2.56519369,30.99700073,
7701891,zombo,95109,5,2.56512293,30.98952379,
7701920,zombo,124116,4,2.56635439,30.99127307,
7702031,zombo,3841,2,2.56497298,30.99114081,
7701517,zombo,78306,3,2.55609954,30.99020986,
7701180,zombo,7881,1,2.55610059,30.99721737,
7701418,zombo,11650,6,2.55615259,30.99679282,
7701555,zombo,86689,2,2.55717657,30.99228635,
7701459,zombo,50689,4,2.55745559,30.99751174,
7701329,zombo,135477,1,2.55759982,30.99146496,
7701469,zombo,144759,4,2.55784246,30.99420782,
7701594,zombo,175743,1,2.55790033,30.99446146,
7701298,zombo,110495,1,2.55811898,30.99465646,
7701376,zombo,169227,1,2.55815269,30.99499601,
7701590,zombo,136295,2,2.55821616,30.99237049,
7701289,zombo,98962,1,2.55824934,30.99452904,
7701628,zombo,34426,1,2.55835411,30.99498897,
7701486,zombo,59966,2,2.55843083,30.99418888,
7701408,zombo,174256,4,2.55858737,30.99436433,
7701424,zombo,29106,6,2.55861356,30.99495219,
7701624,zombo,130649,1,2.55865645,30.9940494,
7701220,zombo,36357,1,2.55877249,30.99115425,
7701402,zombo,3106,9,2.55878557,30.99425514,
7701454,zombo,143059,3,2.55884568,30.99496421,
7701415,zombo,175681,4,2.55896095,30.99439756,
7701452,zombo,43262,2,2.55896566,30.99465712,
7701513,zombo,14191,3,2.55903377,30.99515082,
7701211,zombo,27332,1,2.55911243,30.99326386,
7701514,zombo,144828,2,2.55924642,30.9950927,
7701374,zombo,166777,1,2.55925661,30.99277512,
7701364,zombo,156010,1,2.55939853,30.99291936,
7701285,zombo,93970,1,2.54925177,30.99094195,
7701270,zombo,78402,1,2.55338857,30.99095329,
7701279,zombo,86371,1,2.54448029,30.99112892,
7701360,zombo,155025,1,2.54462712,30.99126877,
7701247,zombo,60194,1,2.545062,30.99130605,
7701210,zombo,27034,1,2.54413852,30.99131706,
7701355,zombo,150556,1,2.55343549,30.99135931,
7701182,zombo,9424,1,2.54430667,30.9914004,
7701213,zombo,27978,1,2.54532424,30.9915913,
7701257,zombo,65160,1,2.54251146,30.99164607,
7701350,zombo,149446,1,2.55090723,30.99167835,
7701233,zombo,46855,1,2.54922975,30.9918252,
7701353,zombo,150219,1,2.54954614,30.99207623,
7701242,zombo,56074,1,2.54659531,30.99214606,
7701341,zombo,141616,1,2.54404881,30.99245106,
7701203,zombo,22096,1,2.54996638,30.99262324,
7701306,zombo,118160,1,2.55285019,30.99266897,
7701223,zombo,40155,1,2.55176394,30.99270833,
7701314,zombo,126188,1,2.54674862,30.99272365,
7701278,zombo,84152,1,2.54310836,30.99316453,
7701310,zombo,123028,1,2.54176476,30.99346018,
7701259,zombo,68907,1,2.54206541,30.99350852,
7701313,zombo,125467,1,2.54876397,30.99361034,
7701208,zombo,24844,1,2.54168415,30.99369563,
7701174,zombo,1954,1,2.55099741,30.99391781,
7701224,zombo,41774,1,2.5486315,30.99458909,
7701365,zombo,158856,1,2.5490312,30.99189501,
7701471,zombo,126784,4,2.54129859,30.99345802,
7701487,zombo,154953,3,2.5544273,30.9922288,
7701519,zombo,73803,3,2.55381997,30.99436677,
7701551,zombo,167240,2,2.54604181,30.99293901,
7701563,zombo,93469,2,2.54688806,30.99415064,
7701607,zombo,47942,2,2.54884556,30.99412478,
7701612,zombo,146507,2,2.5470484,30.99291001,
7701625,zombo,36759,2,2.55005664,30.99284167,
7701627,zombo,34632,2,2.54844453,30.99481621,
7701629,zombo,49084,2,2.54626964,30.9939855,
7701426,zombo,73504,6,2.55822842,31.00103713,
7701338,zombo,140267,1,2.55860432,31.00058317,
7701308,zombo,122384,1,2.55861568,31.00009521,
7701199,zombo,19877,1,2.55881456,31.0002751,
7701593,zombo,65657,2,2.55882784,31.00049809,
7701605,zombo,143253,2,2.5591266,31.00028533,
7701453,zombo,92022,4,2.56032034,31.00048663,
7701219,zombo,33427,1,2.56158087,31.00191777,
7701302,zombo,114833,1,2.56174334,31.00027561,
7701170,zombo,260,1,2.56177514,31.00196536,
